date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:36	53419/53419	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:19%20GMT	https://colorlib.com//polygon/admindek/default/menu-horizontal-static.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/menu-horizontal-static.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:36	43338/43338	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:18%20GMT	https://colorlib.com//polygon/admindek/default/menu-horizontal-fixed.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/menu-horizontal-fixed.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:37	43973/43973	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:18%20GMT	https://colorlib.com//polygon/admindek/default/menu-horizontal-icon.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/menu-horizontal-icon.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:37	43893/43893	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:18%20GMT	https://colorlib.com//polygon/admindek/default/menu-horizontal-icon-fixed.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/menu-horizontal-icon-fixed.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:37	44640/44640	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:17%20GMT	https://colorlib.com//polygon/admindek/default/menu-bottom.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/menu-bottom.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:37	44401/44401	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:20%20GMT	https://colorlib.com//polygon/admindek/default/navbar-light.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/navbar-light.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:38	61621/61621	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:28%20GMT	https://colorlib.com//polygon/admindek/default/widget-statistic.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/widget-statistic.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:38	80698/80698	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:28%20GMT	https://colorlib.com//polygon/admindek/default/widget-data.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/widget-data.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:38	52736/52736	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:27%20GMT	https://colorlib.com//polygon/admindek/default/widget-chart.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/widget-chart.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:38	48292/48292	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:37%20GMT	https://colorlib.com//polygon/admindek/default/alert.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/alert.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:39	45280/45280	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:40%20GMT	https://colorlib.com//polygon/admindek/default/breadcrumb.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/breadcrumb.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:40	96293/96293	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:42%20GMT	https://colorlib.com//polygon/admindek/default/button.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/button.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:40	50474/50474	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:40%20GMT	https://colorlib.com//polygon/admindek/default/box-shadow.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/box-shadow.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:40	49578/49578	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:38%20GMT	https://colorlib.com//polygon/admindek/default/accordion.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/accordion.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:41	62784/62784	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:10%20GMT	https://colorlib.com//polygon/admindek/default/generic-class.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/generic-class.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:41	58186/58186	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:25%20GMT	https://colorlib.com//polygon/admindek/default/tabs.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/tabs.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:41	51530/51530	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:47%20GMT	https://colorlib.com//polygon/admindek/default/color.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/color.html	(from https://colorlib.com//polygon/admindek/default/index.html)
